BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS
639,Nuchatlaht,-126.942083034,49.99026163100001,GCS_North_American_1983_CSRS
718,Tl’esqox,-122.50135560000001,51.92958470999997,GCS_North_American_1983_CSRS
326,McDowell Lake,-92.72837526900003,52.209850760999984,GCS_North_American_1983_CSRS
601,Westbank First Nation,-119.60531212900003,49.83981777399998,GCS_North_American_1983_CSRS
17,Woodstock,-67.577302599,46.10927922399998,GCS_North_American_1983_CSRS
600,Splatsin,-119.13869803699998,50.542514197,GCS_North_American_1983_CSRS
602,?aqam,-115.754511788,49.583492611,GCS_North_American_1983_CSRS
255,Walker Mohawk,-80.11527217999998,43.04763631499998,GCS_North_American_1983_CSRS
541,Wuikinuxv Nation,-127.23206378999998,51.68011258600001,GCS_North_American_1983_CSRS
444,Samson,-113.45504631799997,52.82038607800001,GCS_North_American_1983_CSRS
84,Montagnais de Unamen Shipu,-60.66535042800001,50.21711627799999,GCS_North_American_1983_CSRS
657,T'Sou-ke First Nation,-123.69718119100003,48.38464802200002,GCS_North_American_1983_CSRS
298,St. Theresa Point,-94.85123575300003,53.81728599600001,GCS_North_American_1983_CSRS
222,Teme Augama Anishinabek,-80.07211576399999,46.97319543499998,GCS_North_American_1983_CSRS
57,Eastmain,-78.502582389,52.24425385400002,GCS_North_American_1983_CSRS
23,Eskasoni,-60.645549018,45.930521836000025,GCS_North_American_1983_CSRS
607,Lake Babine Nation,-125.76157137799999,54.238548358,GCS_North_American_1983_CSRS
64,Timiskaming First Nation,-79.469732238,47.60723722,GCS_North_American_1983_CSRS
364,Zagime Anishinabek,-102.794069879,50.52756622999999,GCS_North_American_1983_CSRS
144,Moose Cree First Nation,-80.60051648000001,51.262632715999985,GCS_North_American_1983_CSRS
549,Tsleil-Waututh Nation,-122.98786949599997,49.31061641299999,GCS_North_American_1983_CSRS
713,Tsq'escen' First Nation,-120.99333883899999,51.77111562900001,GCS_North_American_1983_CSRS
187,Fort William,-89.25886448099999,48.35147229299997,GCS_North_American_1983_CSRS
210,Kasabonika Lake,-88.608447636,53.53225847599998,GCS_North_American_1983_CSRS
446,Tallcree Tribal Government,-115.61821879799999,58.06435237400001,GCS_North_American_1983_CSRS
539,Nuxalk Nation,-126.71570100000002,52.361897,GCS_North_American_1983_CSRS
499,Teslin Tlingit Council,-132.729859353,60.16781053,GCS_North_American_1983_CSRS
456,Sucker Creek,-116.15425945499999,55.404200961000015,GCS_North_American_1983_CSRS
195,Netmizaaggamig Nishnaabeg,-85.64421822600002,48.68611243800001,GCS_North_American_1983_CSRS
128,Naicatchewenin,-93.57314666500002,48.859542105,GCS_North_American_1983_CSRS
291,Rolling River,-99.986613939,50.453814169,GCS_North_American_1983_CSRS
141,Beausoleil,-80.17510181799997,44.821230404000005,GCS_North_American_1983_CSRS
443,Ermineskin Tribe,-113.452475333,52.83585148899999,GCS_North_American_1983_CSRS
182,Constance Lake,-84.14349199999998,49.806332,GCS_North_American_1983_CSRS
497,Ross River Dena Council,-132.45096008500002,61.97949763399998,GCS_North_American_1983_CSRS
650,Penelakut Tribe,-123.65969296100002,48.97097409700001,GCS_North_American_1983_CSRS
584,Cheam First Nation,-121.78384499999999,49.189257,GCS_North_American_1983_CSRS
221,Chapleau Cree First Nation,-83.44605133699997,47.81370357999998,GCS_North_American_1983_CSRS
759,Salt River First Nation #195,-112.23487602099999,60.10696095999998,GCS_North_American_1983_CSRS
343,"Mosquito, Grizzly Bear's Head, Lean Man First Nations",-108.24843510699998,52.49042472100001,GCS_North_American_1983_CSRS
378,Carry The Kettle,-103.46747641399998,50.35494606899999,GCS_North_American_1983_CSRS
442,Montana,-113.44118961700002,52.72783136300001,GCS_North_American_1983_CSRS
162,Hiawatha First Nation,-78.21215834600002,44.17313733399999,GCS_North_American_1983_CSRS
395,Flying Dust First Nation,-108.40432360099999,54.135418042000026,GCS_North_American_1983_CSRS
142,Albany,-81.68357500000002,52.21530899999999,GCS_North_American_1983_CSRS
383,Pasqua First Nation #79,-103.990832399,50.738827668,GCS_North_American_1983_CSRS
688,Tk'emlúps te Secwépemc,-120.29422227200001,50.67886172499999,GCS_North_American_1983_CSRS
277,Poplar River First Nation,-97.276968587,52.994313877000025,GCS_North_American_1983_CSRS
617,Tl'azt'en Nation,-124.72357284700001,54.65586883399999,GCS_North_American_1983_CSRS
180,Aundeck-Omni-Kaning,-81.99569633099998,45.95995129200003,GCS_North_American_1983_CSRS
137,Shawanaga First Nation,-80.27345221899998,45.513984273000005,GCS_North_American_1983_CSRS
308,Barren Lands,-101.66386791600002,57.88737057399999,GCS_North_American_1983_CSRS
654,Tsawout First Nation,-123.39067999999997,48.59198300000003,GCS_North_American_1983_CSRS
47,Miawpukek,-55.757336357999975,47.86409863799997,GCS_North_American_1983_CSRS
729,Skin Tyee,-125.88192534699999,53.99562441799998,GCS_North_American_1983_CSRS
83,Première Nation des Innus de Nutashkuan,-61.802421544000026,50.13365762500001,GCS_North_American_1983_CSRS
715,Lhtako Dene Nation,-122.45108942299998,52.95489435799999,GCS_North_American_1983_CSRS
67,Long Point First Nation,-78.56483626599999,47.57754755799999,GCS_North_American_1983_CSRS
615,Saik'uz First Nation,-124.11403318100002,53.94339053700003,GCS_North_American_1983_CSRS
143,Attawapiskat,-82.425159479,52.92546782400001,GCS_North_American_1983_CSRS
462,Saddle Lake Cree Nation,-111.69052082500002,53.96936144799997,GCS_North_American_1983_CSRS
682,Tahltan,-131.1797176,57.90183803999997,GCS_North_American_1983_CSRS
673,Metlakatla First Nation,-130.44422911499998,54.33694956099998,GCS_North_American_1983_CSRS
24,Pictou Landing,-62.652287,45.67438800000002,GCS_North_American_1983_CSRS
296,God's Lake First Nation,-94.50182982899997,54.54737610000001,GCS_North_American_1983_CSRS
129,Nigigoonsiminikaaning First Nation,-92.94053166600003,48.71095749699998,GCS_North_American_1983_CSRS
349,Thunderchild First Nation,-108.87464588,53.48005024399998,GCS_North_American_1983_CSRS
307,Shamattawa First Nation,-92.09889822899999,55.872834055,GCS_North_American_1983_CSRS
711,Esk'etemc,-122.23644775100001,51.78865883200001,GCS_North_American_1983_CSRS
400,English River First Nation,-107.71728255099998,55.91533674499999,GCS_North_American_1983_CSRS
723,Stswecem'c Xget'tem First Nation ,-122.20895149,51.588840213000026,GCS_North_American_1983_CSRS
2,Lennox Island,-63.85596341500002,46.599671226,GCS_North_American_1983_CSRS
676,Haisla Nation,-128.645930028,53.97547540300002,GCS_North_American_1983_CSRS
455,Sturgeon Lake Cree Nation,-117.41809620200002,55.06759463100002,GCS_North_American_1983_CSRS
33,Sheshatshiu Innu First Nation,-60.137472084000024,53.508927755,GCS_North_American_1983_CSRS
22,Potlotek First Nation,-60.76764293100001,45.683154222999974,GCS_North_American_1983_CSRS
538,Heiltsuk,-128.144426,52.161598000000026,GCS_North_American_1983_CSRS
60,Cree Nation of Wemindji,-78.80771226000002,53.000233303000016,GCS_North_American_1983_CSRS
465,Frog Lake,-110.39725969400001,53.86718714599999,GCS_North_American_1983_CSRS
285,Waywayseecappo First Nation Treaty Four - 1874,-100.88047692800001,50.67971132100001,GCS_North_American_1983_CSRS
590,Bridge River,-121.96409764999999,50.769540807,GCS_North_American_1983_CSRS
139,Chippewas of Rama First Nation,-79.35127000199998,44.646658030000026,GCS_North_American_1983_CSRS
178,Sheshegwaning,-82.83685100000002,45.93347699999998,GCS_North_American_1983_CSRS
16,Tobique,-67.69698884799999,46.78724760799997,GCS_North_American_1983_CSRS
369,Beardy's and Okemasis,-106.31100781499998,52.837420786999985,GCS_North_American_1983_CSRS
160,Alderville First Nation,-78.06328042400003,44.182690544000025,GCS_North_American_1983_CSRS
695,Lower Nicola,-120.85768153700002,50.13832773600001,GCS_North_American_1983_CSRS
